"Class","Age","Sex","Survived"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","Yes"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Male","No"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
"1st","Adult","Female","Yes"
