"Category","Age","Sex","Fate"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Survivor"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
