"bruises","cap-color","cap-shape","cap-surface","edible","gill-attachment","gill-color","gill-size","gill-spacing","habitat","odor","population","ring-number","ring-type","spore-print-color","stalk-color-above-ring","stalk-color-below-ring","stalk-root","stalk-shape","stalk-surface-above-ring","stalk-surface-below-ring","veil-color","veil-type"
"bruises","brown","convex","smooth","poisonous","free","black","narrow","close","urban","pungent","scattered","one","pendant","black","white","white","equal","enlarging","smooth","smooth","white","partial"
"bruises","yellow","convex","smooth","edible","free","black","broad","close","grasses","almond","numerous","one","pendant","brown","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","bell","smooth","edible","free","brown","broad","close","meadows","anise","numerous","one","pendant","brown","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","convex","scaly","poisonous","free","brown","narrow","close","urban","pungent","scattered","one","pendant","black","white","white","equal","enlarging","smooth","smooth","white","partial"
"no","gray","convex","smooth","edible","free","black","broad","crowded","grasses","none","abundant","one","evanescent","brown","white","white","equal","tapering","smooth","smooth","white","partial"
"bruises","yellow","convex","scaly","edible","free","brown","broad","close","grasses","almond","numerous","one","pendant","black","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","bell","smooth","edible","free","gray","broad","close","meadows","almond","numerous","one","pendant","black","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","bell","scaly","edible","free","brown","broad","close","meadows","anise","scattered","one","pendant","brown","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","convex","scaly","poisonous","free","pink","narrow","close","grasses","pungent","several","one","pendant","black","white","white","equal","enlarging","smooth","smooth","white","partial"
"bruises","yellow","bell","smooth","edible","free","gray","broad","close","meadows","almond","scattered","one","pendant","black","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","yellow","convex","scaly","edible","free","gray","broad","close","grasses","anise","numerous","one","pendant","brown","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","yellow","convex","scaly","edible","free","brown","broad","close","meadows","almond","scattered","one","pendant","black","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","yellow","bell","smooth","edible","free","white","broad","close","grasses","almond","scattered","one","pendant","brown","white","white","club","enlarging","smooth","smooth","white","partial"
"bruises","white","convex","scaly","poisonous","free","black","narrow","close","urban","pungent","several","one","pendant","brown","white","white","equal","enlarging","smooth","smooth","white","partial"
"no","brown","convex","fibrous","edible","free","brown","broad","crowded","grasses","none","abundant","one","evanescent","black","white","white","equal","tapering","smooth","fibrous","white","partial"
