"Class","Crew","Sex","Age","Survived"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Male","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"3rd",FALSE,"Female","Child","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
